,precision,recall,f1-score,support
anger,0.3224043715846995,0.38311688311688313,0.35014836795252224,154.0
disgust,0.20869565217391303,0.48,0.2909090909090909,50.0
fear,0.325,0.40625,0.3611111111111111,32.0
happiness,0.42096774193548386,0.8063851699279093,0.5531614270575769,1942.0
neutral,0.9534707773784755,0.77889369592089,0.8573858321285823,12944.0
sadness,0.2493573264781491,0.5705882352941176,0.3470483005366726,170.0
surprise,0.375,0.726643598615917,0.49469964664310956,289.0
accuracy,0.7734420127077851,0.7734420127077851,0.7734420127077851,0.7734420127077851
macro avg,0.40784226707867444,0.5931253689822453,0.4649233966198093,15581.0
weighted avg,0.8587700339233503,0.7734420127077851,0.7993217360987726,15581.0
